time,msg,codes,model,len,to,from,id,flags,payload,mic
2022-02-23 16:10:03,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;52;44;50;49;46;54;56;44;57;44;55;54;46;52;55;44;53;55;55;53,CRC
2022-02-23 16:10:04,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;50;44;50;49;46;54;56;44;57;44;55;53;46;54;50;44;53;55;55;53,CRC
2022-02-23 16:10:05,,,RadioHead-ASK,24,255,255,0,0,56;44;52;49;51;44;50;49;46;54;56;44;57;44;55;53;46;54;50;44;53;55;55;53,CRC
2022-02-23 16:10:06,,,RadioHead-ASK,24,255,255,0,0,57;44;52;48;52;44;50;49;46;54;56;44;57;44;55;53;46;54;50;44;53;48;55;48,CRC
2022-02-23 16:10:07,,,RadioHead-ASK,20,255,255,0,0,48;44;52;48;52;44;50;49;46;54;56;44;57;44;55;44;53;48;55;48,CRC
2022-02-23 16:10:09,,,RadioHead-ASK,20,255,255,0,0,53;44;52;48;55;44;50;49;46;48;57;44;57;44;55;44;53;48;55;48,CRC
2022-02-23 16:10:10,,,RadioHead-ASK,25,255,255,0,0,49;50;44;52;48;52;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;48;55;48,CRC
2022-02-23 16:10:11,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;51;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;48;55;48,CRC
2022-02-23 16:10:12,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;52;56;49,CRC
2022-02-23 16:10:13,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;52;56;49,CRC
2022-02-23 16:10:14,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;52;56;49,CRC
2022-02-23 16:10:16,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;49;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;52;56;49,CRC
2022-02-23 16:10:17,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;54;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;53;52;56;49,CRC
2022-02-23 16:10:18,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;55;44;50;49;46;49;48;44;57;44;55;54;46;52;55;44;52;53;48;54,CRC
2022-02-23 16:10:19,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;57;44;55;54;46;52;55;44;52;53;48;54,CRC
2022-02-23 16:10:20,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;48;57;44;57;44;55;53;46;54;50;44;52;53;48;54,CRC
2022-02-23 16:10:21,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;50;44;50;49;46;48;57;44;57;44;55;55;46;51;49;44;52;53;48;54,CRC
2022-02-23 16:10:23,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;55;46;51;49;44;52;53;48;54,CRC
2022-02-23 16:10:24,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;57;44;55;54;46;52;55;44;52;57;49;49,CRC
2022-02-23 16:10:25,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;57;44;55;54;46;52;55;44;52;57;49;49,CRC
2022-02-23 16:10:26,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;53;46;54;50;44;52;57;49;49,CRC
2022-02-23 16:10:27,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;52;57;49;49,CRC
2022-02-23 16:10:29,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;52;57;49;49,CRC
2022-02-23 16:10:30,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;52;57;49;49,CRC
2022-02-23 16:10:31,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;52;55;50;50,CRC
2022-02-23 16:10:32,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;52;55;50;50,CRC
2022-02-23 16:10:33,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;52;55;50;50,CRC
2022-02-23 16:10:34,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;48;57;44;56;44;55;53;46;54;50;44;52;55;50;50,CRC
2022-02-23 16:10:36,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;52;55;50;50,CRC
2022-02-23 16:10:37,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;52;51;51;56,CRC
2022-02-23 16:10:38,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;51;51;56,CRC
2022-02-23 16:10:39,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;52;51;51;56,CRC
2022-02-23 16:10:40,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;51;51;56,CRC
2022-02-23 16:10:41,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;51;51;56,CRC
2022-02-23 16:10:43,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;48;55;55,CRC
2022-02-23 16:10:44,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;48;55;55,CRC
2022-02-23 16:10:45,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;52;48;55;55,CRC
2022-02-23 16:10:46,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;56;44;55;53;46;54;50;44;52;48;55;55,CRC
2022-02-23 16:10:47,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;48;57;44;56;44;55;53;46;54;50;44;52;48;55;55,CRC
2022-02-23 16:11:05,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;56;44;56;44;55;53;46;54;50;44;51;48;57;51,CRC
2022-02-23 16:11:06,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;56;44;56;44;55;53;46;54;50;44;51;48;57;51,CRC
2022-02-23 16:11:07,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;56;44;56;44;55;54;46;52;55;44;51;50;49;54,CRC
2022-02-23 16:11:08,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;56;44;57;44;55;54;46;52;55;44;51;50;49;54,CRC
2022-02-23 16:11:09,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;48;56;44;57;44;55;54;46;52;55;44;51;50;49;54,CRC
2022-02-23 16:11:11,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;49;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;51;50;49;54,CRC
2022-02-23 16:11:12,,,RadioHead-ASK,25,255,255,0,0,49;48;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;51;50;49;54,CRC
2022-02-23 16:11:13,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;48;57;44;57;44;55;54;46;52;55;44;50;53;56;54,CRC
2022-02-23 16:11:14,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;53;56;54,CRC
2022-02-23 16:11:15,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;48;57;44;56;44;55;52;46;55;56;44;50;53;56;54,CRC
2022-02-23 16:11:17,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;48;57;44;56;44;55;52;46;55;56;44;50;53;56;54,CRC
2022-02-23 16:11:18,,,RadioHead-ASK,24,255,255,0,0,50;44;52;48;48;44;50;49;46;49;48;44;56;44;55;52;46;55;56;44;50;53;56;54,CRC
2022-02-23 16:11:19,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;57,CRC
2022-02-23 16:11:20,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;57,CRC
2022-02-23 16:11:21,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;51;54;57;57,CRC
2022-02-23 16:11:22,,,RadioHead-ASK,24,255,255,0,0,57;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;57,CRC
2022-02-23 16:11:24,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;57,CRC
2022-02-23 16:11:25,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;57,CRC
2022-02-23 16:11:26,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;56;56;54,CRC
2022-02-23 16:11:27,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;56;56;54,CRC
2022-02-23 16:11:28,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;56;56;54,CRC
2022-02-23 16:11:29,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;56;56;54,CRC
2022-02-23 16:11:31,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;56;56;54,CRC
2022-02-23 16:11:32,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;49;52;49,CRC
2022-02-23 16:11:33,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;51;49;52;49,CRC
2022-02-23 16:11:34,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;51;49;52;49,CRC
2022-02-23 16:11:35,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;49;52;49,CRC
2022-02-23 16:11:36,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;49;52;49,CRC
2022-02-23 16:11:38,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;49;50,CRC
2022-02-23 16:11:39,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;49;50,CRC
2022-02-23 16:11:40,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;49;50,CRC
2022-02-23 16:11:41,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;49;50,CRC
2022-02-23 16:11:42,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;49;50,CRC
2022-02-23 16:11:43,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;57;52;48,CRC
2022-02-23 16:11:45,,,RadioHead-ASK,25,255,255,0,0,49;49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;50;57;52;48,CRC
2022-02-23 16:11:46,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;57;52;48,CRC
2022-02-23 16:11:47,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;57;52;48,CRC
2022-02-23 16:11:48,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;57;52;48,CRC
2022-02-23 16:11:49,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:50,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:52,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;50;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:53,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;55;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:54,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;54;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:55,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;51;54;57;48,CRC
2022-02-23 16:11:56,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;56;44;50;49;46;48;57;44;56;44;55;53;46;54;50;44;51;49;50;51,CRC
2022-02-23 16:11:58,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;51;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;51;49;50;51,CRC
2022-02-23 16:11:59,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;52;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;49;50;51,CRC
2022-02-23 16:12:00,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;51;49;50;51,CRC
2022-02-23 16:12:01,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;51;49;50;51,CRC
2022-02-23 16:12:02,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;50;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;55;55;52,CRC
2022-02-23 16:12:03,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;51;55;55;52,CRC
2022-02-23 16:12:05,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;51;55;55;52,CRC
2022-02-23 16:12:06,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;51;55;55;52,CRC
2022-02-23 16:12:07,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;51;55;55;52,CRC
2022-02-23 16:12:08,,,RadioHead-ASK,24,255,255,0,0,57;44;52;48;54;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:09,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;55;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:10,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;52;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:12,,,RadioHead-ASK,24,255,255,0,0,54;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:13,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;49;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;54;55;54,CRC
2022-02-23 16:12:14,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;55;49;53,CRC
2022-02-23 16:12:15,,,RadioHead-ASK,25,255,255,0,0,49;48;44;52;48;48;44;50;49;46;49;50;44;56;44;55;54;46;52;55;44;50;55;49;53,CRC
2022-02-23 16:12:16,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;50;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:17,,,RadioHead-ASK,24,255,255,0,0,57;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:19,,,RadioHead-ASK,25,255,255,0,0,49;51;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;55;49;53,CRC
2022-02-23 16:12:20,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:21,,,RadioHead-ASK,24,255,255,0,0,56;44;52;48;48;44;50;49;46;49;49;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:22,,,RadioHead-ASK,24,255,255,0,0,51;44;52;48;48;44;50;49;46;49;49;44;56;44;55;53;46;54;50;44;50;50;53;48,CRC
2022-02-23 16:12:23,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:24,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:26,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;48;57;44;56;44;55;54;46;52;55;44;50;50;53;48,CRC
2022-02-23 16:12:27,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:28,,,RadioHead-ASK,24,255,255,0,0,49;44;52;48;48;44;50;49;46;49;48;44;56;44;55;53;46;54;50;44;50;55;50;49,CRC
2022-02-23 16:12:29,,,RadioHead-ASK,24,255,255,0,0,48;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:30,,,RadioHead-ASK,24,255,255,0,0,55;44;52;48;49;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:31,,,RadioHead-ASK,24,255,255,0,0,52;44;52;48;48;44;50;49;46;49;48;44;56;44;55;54;46;52;55;44;50;55;50;49,CRC
2022-02-23 16:12:33,,,RadioHead-ASK,24,255,255,0,0,53;44;52;48;48;44;50;49;46;49;48;44;56;44;55;55;46;51;49;44;50;57;52;48,CRC
